Volcano_ID,Volcano_Name,Volcano_Image,Volcano_Type,Country,epoch_period,Latitude,Longitude,price,quantity
1310,Lunar Crater,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),United States,pleistocene,38.48N,115.97W,100,99
1311,Lunayyir  Harrat,https://volcano.si.edu/gallery/photos/GVP-10433.jpg,Volcanic field,Saudi Arabia,holocene,25.17N,37.75E,100,99
1312,Lurus,https://volcano.si.edu/gallery/photos/GVP-11514.jpg,Complex,Indonesia,pleistocene,7.739S,113.58E,100,99
1313,Ly Son Group,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Vietnam,holocene,15.38N,109.12E,100,99
1314,Lyngdalsheidi,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Iceland,pleistocene,64.15N,20.9W,100,99
1315,Lyzyk,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Russia,pleistocene,57.23N,161.52E,100,99
1316,Ma Alalta,https://volcano.si.edu/gallery/photos/GVP-11180.jpg,Stratovolcano,Ethiopia,holocene,13.013N,40.185E,100,99
1317,Mabda,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome,Eritrea,pleistocene,13.508N,41.779E,100,99
1318,Maca,https://volcano.si.edu/gallery/photos/GVP-10970.jpg,Stratovolcano,Chile,holocene,45.1S,73.17W,100,99
1319,Macauley,https://volcano.si.edu/gallery/photos/GVP-11693.jpg,Caldera,New Zealand,holocene,30.21S,178.475W,100,99
1320,Macdonald,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Undersea Features,holocene,28.98S,140.25W,100,99
1321,Machin,https://volcano.si.edu/gallery/photos/GVP-07560.jpg,Stratovolcano,Colombia,holocene,4.487N,75.389W,100,99
1322,Madarao,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,pleistocene,36.834N,138.278E,100,99
1323,Madeira,https://volcano.si.edu/gallery/photos/GVP-11735.jpg,Shield,Portugal,holocene,32.73N,16.97W,100,99
1324,Maderas,https://volcano.si.edu/gallery/photos/GVP-04214.jpg,Stratovolcano,Nicaragua,pleistocene,11.446N,85.515W,100,99
1325,Madilogo,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,Papua New Guinea,holocene,9.2S,147.57E,100,99
1326,Maer Volcanic Province,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),Australia,pleistocene,9.717S,143.833E,100,99
1327,Maetambe,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Solomon Islands,pleistocene,7.08S,157.03E,100,99
1328,Magee Peak,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,United States,pleistocene,40.698N,121.619W,100,99
