Volcano_ID,Volcano_Name,Volcano_Image,Volcano_Type,Country,epoch_period,Latitude,Longitude
854,Hodakadake,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Japan,pleistocene,36.286°N,137.651°E
855,Hodson,https://volcano.si.edu/gallery/photos/GVP-11093.jpg,Stratovolcano,United Kingdom,holocene,56.712°S,27.176°W
856,Hofsjokull,https://volcano.si.edu/gallery/photos/GVP-07539.jpg,Subglacial,Iceland,holocene,64.833°N,18.766°W
857,Hogum Range,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Canada,pleistocene,56.15°N,126.7°W
858,Hohi,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano(es),Japan,pleistocene,33.284°N,131.319°E
859,Hokkaido-Komagatake,https://volcano.si.edu/gallery/photos/GVP-02141.jpg,Stratovolcano,Japan,holocene,42.063°N,140.677°E
860,Hokusatsu,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,Japan,pleistocene,31.872°N,130.608°E
861,Hollister Ridge,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Undersea Features,holocene,53.998°S,139.845°W
862,Homa Mountain,https://volcano.si.edu/gallery/photos/GVP-09471.jpg,Complex,Kenya,holocene,0.38°S,34.5°E
863,Home Reef,https://volcano.si.edu/gallery/photos/GVP-11956.jpg,Submarine,Tonga,holocene,18.992°S,174.775°W
864,Honggeertu,https://volcano.si.edu/gallery/photos/GVP-12642.jpg,Pyroclastic cone(s),China,holocene,41.59°N,113.111°E
865,Hood,https://volcano.si.edu/gallery/photos/GVP-02967.jpg,Stratovolcano,United States,holocene,45.374°N,121.695°W
866,Hoodoo Mountain,https://volcano.si.edu/gallery/photos/GVP-09642.jpg,Subglacial,Canada,holocene,56.78°N,131.28°W
867,Hornopiren,https://volcano.si.edu/gallery/photos/GVP-12161.jpg,Stratovolcano,Chile,holocene,41.874°S,72.431°W
868,Horohoro-Tokushumbetsu,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano(es),Japan,pleistocene,42.631°N,141.146°E
869,Hotaka,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,pleistocene,36.802°N,139.136°E
870,Hreppar,https://volcano.si.edu/includes/images/noimage.jpg,Fissure vent(s),Iceland,pleistocene,64.42°N,19.5°W
871,Hromundartindur,https://volcano.si.edu/gallery/photos/GVP-12081.jpg,Stratovolcano,Iceland,holocene,64.083°N,21.333°W
872,Hrutfell,https://volcano.si.edu/includes/images/noimage.jpg,Tuya,Iceland,pleistocene,64.73°N,19.72°W
873,Hualalai,https://volcano.si.edu/gallery/photos/GVP-03588.jpg,Shield,United States,holocene,19.692°N,155.87°W
874,Huambo,https://volcano.si.edu/gallery/photos/GVP-12339.jpg,Volcanic field,Peru,holocene,15.78°S,72.08°W
875,Huambutillo-Rumicola,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Peru,pleistocene,13.58°S,71.72°W
876,Huanquihue Group,https://volcano.si.edu/gallery/photos/GVP-11852.jpg,Stratovolcano(es),Argentina,holocene,39.887°S,71.58°W
877,Huapinghsu,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Taiwan,pleistocene,25.424°N,121.946°E
878,Huaynaputina,https://volcano.si.edu/gallery/photos/GVP-06868.jpg,Stratovolcano,Peru,holocene,16.608°S,70.85°W
879,Hudson Mountains,https://volcano.si.edu/gallery/photos/GVP-11095.jpg,Stratovolcano(es),Antarctica,holocene,74.33°S,99.42°W
880,Hudson  Cerro,https://volcano.si.edu/gallery/photos/GVP-04933.jpg,Stratovolcano,Chile,holocene,45.9°S,72.97°W
881,Huequi,https://volcano.si.edu/gallery/photos/GVP-11062.jpg,Lava dome(s),Chile,holocene,42.377°S,72.578°W
882,Huila  Nevado del,https://volcano.si.edu/gallery/photos/GVP-06802.jpg,Stratovolcano,Colombia,holocene,2.93°N,76.03°W
883,Huitepec,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome,Mexico,pleistocene,16.743°N,92.694°W
